comicID;characterID
68325;1009282
69490;1009268
69416;1009313
65303;1009268
62232;1009652
65813;1009327
62191;1017583
65277;1009214
65266;1011030
65815;1009327
65288;1009368
65331;1009262
65300;1009365
65320;1009187
65808;1009327
49113;1009515
65333;1009165
62137;1009239
65268;1009187
65326;1009165
65363;1009165
65812;1009257
65293;1017576
61124;1009165
65281;1011285
65295;1009187
65313;1009185
65746;1009262
61456;1011227
65279;1009282
61033;1017577
65312;1009165
65709;1009241
65318;1011298
62150;1010763
65286;1011227
65310;1009338
65275;1009262
65283;1010801
61530;1009338
65329;1009268
62237;1011227
60890;1009153
65274;1009268
65292;1009356
65291;1009215
65817;1009327
65838;1009220
65362;1009165
65298;1010747
65276;1009214
65265;1011197
65853;1009265
65330;1009262
65299;1009365
62193;1017577
65319;1009187
60485;1010329
65258;1011001
61093;1009180
59512;1009165
65314;1009277
65290;1009310
65297;1009365
65497;1009165
65334;1009356
65280;1009190
60676;1017574
62234;1011346
65315;1009204
65311;1009515
62128;1011227
65259;1009610
65269;1009197
60444;1009195
62208;1009268
65272;1009262
65301;1009398
56395;1010701
65361;1009165
62213;1011104
65335;1009172
65282;1010735
65466;1009144
65270;1009220
65289;1009367
60690;1009281
65261;1010787
46766;1011101
45951;1009165
45907;1009165
43477;1009165
46483;1009610
46751;1009718
43543;1009165
46944;1009313
46687;1009692
43520;1009175
46639;1009182
46410;1011227
46030;1011367
45973;1009740
36421;1009368
46482;1009610
46425;1011426
46808;1009399
46046;1009268
47135;1010803
46671;1009153
40501;1009262
43507;1009148
46100;1009299
47317;1009588
47343;1009220
45950;1011297
45906;1009165
42689;1009313
46209;1009368
46765;1011101
45879;1009165
46508;1009664
46045;1009268
46852;1009664
43332;1009156
46446;1009167
43541;1009165
36422;1009368
46637;1009182
46719;1009471
45823;1009165
45905;1009165
46764;1011101
46481;1009276
46881;1009652
42765;1010809
46208;1009368
43476;1009165
36423;1009368
46807;1009399
46834;1009338
47316;1009588
43506;1009175
46424;1011426
43333;1009156
43519;1009175
42691;1009313
46044;1009268
46669;1009153
43540;1009165
43304;1010763
46099;1009299
47395;1009718
45972;1009740
40494;1009262
46686;1009692
45904;1009165
47134;1010803
46408;1011227
46763;1011101
45949;1010366
46806;1009399
42276;1009262
46207;1009368
46029;1009239
46480;1009165
45878;1009165
43334;1009156
46098;1009195
46507;1009664
37407;1009165
46717;1009471
46667;1009153
43539;1009165
46444;1014528
37406;1009165
46479;1009165
46043;1009268
46222;1009368
47070;1010969
46685;1009692
46880;1009652
43475;1009165
46832;1009338
46138;1010763
42695;1009313
43305;1010735
37405;1009165
47145;1009610
45821;1009175
46805;1011291
47133;1010803
46226;1009588
47073;1009299
46423;1011426
46635;1009512
46762;1011101
46042;1009268
43538;1009165
46028;1009239
46478;1011242
45970;1009740
45990;1010338
43518;1009175
43474;1009465
46406;1011227
40506;1009262
45948;1010366
47131;1010803
46665;1009165
46441;1009471
46804;1011291
46713;1009718
46096;1009299
46506;1009664
47003;1009165
45876;1009165
47697;1009165
